,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__bidirectional,param_model__module__dropout,param_model__module__hidden_size,param_model__module__num_layers,param_model__module__readout_mode,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,decimation_factor,model_type,gridsearch_hash,param_model__module__d_model,param_model__module__dim_feedforward,param_model__module__nhead,param_model__module__patch_size,param_model__module__channels,param_model__module__kernel_size,param_model__module__downsample,param_model__module__input_scaling,param_model__module__leak_rate,param_model__module__reservoir_size,param_model__module__spectral_radius
15,2.753034830093384,0.1893229701289318,0.0284121990203857,0.00536927196797,128,10,0.0002,500,,0.25,,2.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0002, 'model__max_epochs': 500, 'model__module__d_model': 128, 'model__module__dim_feedforward': 384, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.9825065899832256,0.932486388384755,0.8621955288621955,0.9269005847953216,0.7927092987333951,0.8993596781517784,0.0656121434480202,1,0.8744258770643994,0.911693807120684,0.9148869346733668,0.9006545114539505,0.9241398759165256,0.9051602012457852,0.0171021947298798,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,128.0,384.0,4.0,16.0,,,,,,,
14,2.6412709236145018,0.5231082532625414,0.0213798522949218,0.0025585515149902,128,10,0.0001,500,,0.1,,2.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0001, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 384, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.9644249512670564,0.9538690476190476,0.8621955288621955,0.906832298136646,0.776829268292683,0.8928302188355257,0.0684723408575558,1,0.8910345359235277,0.9808393508257668,0.9148869346733668,0.9113899613899614,0.9211021203912976,0.923850580640784,0.0302250913413604,enmo_ai,6400,3,Transformer,b24ce2b4c8,96.0,384.0,4.0,32.0,,,,,,,
13,7.836472606658935,1.2993790259875102,0.0388640403747558,0.0046958590637255,128,10,0.0001,500,,0.25,,2.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0001, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.7348668280871671,0.8874773139745916,0.8691796008869179,0.9634502923976608,0.8486352357320099,0.8607218542156694,0.0739271182519014,1,0.9327292862176584,0.9666186231071728,0.9611135026546131,0.8781298701298701,0.9212759730757974,0.9319734510370224,0.0318231647782002,raw_enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,96.0,256.0,4.0,16.0,,,,,,,
9,85.50760507583618,12.851047973129171,0.0601404190063476,0.0053337188220359,128,10,0.0003,500,True,0.1,128.0,2.0,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.8082983193277311,0.8680851063829788,0.6802168021680217,0.864024864024864,0.7395730706075534,0.7920396325022298,0.0727821654712274,1,0.8193134822167081,0.8308457711442787,0.8854164751732632,0.8305101814739471,0.8580009829440995,0.8448173785904594,0.0239684980810108,raw_enmo_ai_jerk,6400,3,RNN,b296446b5e,,,,,,,,,,,
17,32.012648296356204,8.881916007112277,0.0475066184997558,0.0062926513695969,48,10,0.001,500,,0.1,,,,0.0001,"{'model__batch_size': 48, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__channels': 256, 'model__module__dropout': 0.1, 'model__module__kernel_size': 5, 'model__optimizer__weight_decay': 0.0001}",0.6398026315789473,0.8680851063829788,0.8276533592989289,0.8295454545454546,0.7789855072463767,0.7888144118105374,0.0796899525849978,1,0.8643799472295515,0.8487201946472019,0.8528506787330317,0.7837150127226462,0.8608540720731077,0.8421039810811077,0.0297197644620355,raw_enmo_ai_jerk,6400,3,CNN1D,5ee8b4f0c9,,,,,256.0,5.0,,,,,
5,37.77643265724182,20.696358009416684,0.0690779209136962,0.0228037333626011,128,10,0.001,500,True,0.1,64.0,1.0,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.7181467181467182,0.8064516129032258,0.7359724612736661,0.8411016949152542,0.7682370820668694,0.7739819138611468,0.0450658119275522,1,0.8255835475578406,0.8492349234923493,0.8345543345543346,0.7711538461538462,0.8215537992077482,0.8204160901932237,0.0264014423528311,raw_enmo_ai_jerk,6400,3,GRU,b296446b5e,,,,,,,,,,,
12,3.090944719314576,0.9423147661416772,0.0302365779876708,0.0035674699656135,64,10,0.0002,500,,0.1,,3.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0002, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.6165966386554622,0.7894021739130435,0.7665144596651445,0.8153949429402552,0.8239175257731959,0.7623651481894202,0.0756274159746125,1,0.923165846172244,0.8549972947256479,0.908924570575056,0.7586130985140341,0.7985892181588903,0.8488580056291746,0.0629895745582315,raw,6400,3,Transformer,b24ce2b4c8,96.0,256.0,4.0,16.0,,,,,,,
1,86.90840997695923,44.618918890721226,0.076005220413208,0.0054923559482698,128,10,0.001,500,True,0.1,128.0,1.0,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.7455081791364977,0.8424682395644283,0.6802168021680217,0.7365339578454333,0.7789855072463767,0.7567425371921516,0.0533562205655009,1,0.8387838742054199,0.8507462686567164,0.8728344313681327,0.7948065505317414,0.8011599476886336,0.8316662144901288,0.0296607443231831,raw_enmo_ai_jerk,6400,3,LSTM,b296446b5e,,,,,,,,,,,
4,79.93632760047913,15.28099092359883,0.0479658126831054,0.0055753677988594,128,10,0.001,500,True,0.1,64.0,2.0,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.5699859747545583,0.8241134751773049,0.7601626016260162,0.6957403651115619,0.7227272727272727,0.7145459378793427,0.0841475988802707,1,0.7792096219931272,0.7130900243309003,0.7818849256983569,0.7482950466618807,0.7409076899368161,0.7526774617242162,0.0256200303255545,raw,6400,3,GRU,b296446b5e,,,,,,,,,,,
16,23.60878386497497,14.607457314336298,0.0394405364990234,0.003934680838247,48,10,0.001,500,,0.1,,,,0.0001,"{'model__batch_size': 48, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__channels': 256, 'model__module__dropout': 0.1, 'model__module__kernel_size': 5, 'model__optimizer__weight_decay': 0.0001}",0.4490566037735849,0.8064516129032258,0.7601626016260162,0.6832298136645962,0.8124725516029864,0.702274636714082,0.1347809458244464,1,0.7797420923604329,0.8153506958798402,0.7859399684044234,0.6936274509803921,0.7174425748657273,0.7584205564981631,0.0454539507513151,raw,6400,3,CNN1D,5ee8b4f0c9,,,,,256.0,5.0,,,,,
