,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__downsample,param_model__module__input_scaling,param_model__module__leak_rate,param_model__module__reservoir_size,param_model__module__spectral_radius,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,67.75161623954773,52.40560787518452,0.1439598560333252,0.006578022140874017,128,10,0.0008,500,8,0.5,0.85,400,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0008, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.85, 'model__module__reservoir_size': 400, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5780038759689923,0.6322115384615384,0.48540540540540544,0.7068243409706825,0.5457957957957958,0.5896481913204829,0.0754547144389152,6,0.6485151933701657,0.6734633569739953,0.6857626299250665,0.5892632358385783,0.669879767827529,0.6533768367870669,0.03423110873640691
1,29.090503025054932,26.015557898223175,0.14178452491760254,0.004466850261497783,128,10,0.0008,500,8,0.5,0.85,700,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0008, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.85, 'model__module__reservoir_size': 700, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5726435152374203,0.6198882024124742,0.5466666666666666,0.6438482886216466,0.5457957957957958,0.5857684937468007,0.03958901770818084,7,0.6345955975373196,0.6533333333333333,0.6261437908496732,0.5989612859572445,0.6630940104474836,0.6352256036250109,0.022371924105351305
2,37.418402147293094,34.11606883688864,0.13885025978088378,0.0029694459133180477,128,10,0.0008,500,8,0.5,0.95,400,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0008, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.95, 'model__module__reservoir_size': 400, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5978391356542617,0.6712858524009023,0.5960396039603961,0.5955555555555556,0.56,0.6041440295142231,0.036430522937175656,3,0.6460216998191681,0.6734633569739953,0.652499331729484,0.5885300040273862,0.6892566325190439,0.6499542050138155,0.03432851807933619
3,28.506730556488037,25.69612758886554,0.1370692729949951,0.002968584972619989,128,10,0.0008,500,8,0.5,0.95,700,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0008, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.95, 'model__module__reservoir_size': 700, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5726435152374203,0.6402116402116402,0.5395833333333333,0.6749226006191951,0.56,0.5974722178803178,0.051375041702186965,4,0.6354748603351955,0.676214196762142,0.615207116599564,0.5954301075268817,0.6948146874193826,0.6434281937286332,0.037091763813993754
4,57.57046737670898,46.250096447307826,0.13547592163085936,0.0017584285511827668,128,10,0.001,500,8,0.5,0.85,400,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.85, 'model__module__reservoir_size': 400, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5978391356542617,0.6274572993876893,0.5244755244755245,0.6075353218210361,0.5180952380952382,0.5750805038867499,0.04499507460281377,8,0.6362588393179746,0.6740208461984692,0.6958702591248835,0.6220966729441305,0.6668874633942268,0.6590268161959371,0.026556604634876572
5,20.933747339248658,18.094745431506773,0.13679842948913573,0.0020679127087383058,128,10,0.001,500,8,0.5,0.85,700,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.85, 'model__module__reservoir_size': 700, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5852380952380952,0.6730769230769231,0.573027573027573,0.6316632349576756,0.597953216374269,0.6121918085349073,0.036191742510714636,1,0.6201773385677541,0.6538454523900713,0.6458707062653644,0.6098993725994543,0.657035175879397,0.6373656091404082,0.01887137812318081
6,29.81011962890625,24.511338779328497,0.136421537399292,0.0017873132170614517,128,10,0.001,500,8,0.5,0.95,400,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.95, 'model__module__reservoir_size': 400, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.6042995511457595,0.6448540706605222,0.5913461538461539,0.5878623188405797,0.5454545454545454,0.5947633279895121,0.0319082406124168,5,0.6325587558176127,0.676214196762142,0.655825332193904,0.6163065348613419,0.6866571018651363,0.6535123843000273,0.026239756471921928
7,22.623750066757204,20.086792576487813,0.13672051429748536,0.001477272727222864,128,10,0.001,500,8,0.5,0.95,700,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.95, 'model__module__reservoir_size': 700, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5914634146341464,0.6712858524009023,0.5506212001057362,0.6475665308079597,0.56,0.6041873995897489,0.047681684529204515,2,0.6214779005524862,0.6672293224017363,0.6167649320687003,0.6259811894491196,0.6892566325190439,0.6441419953982173,0.028849037471488516
