feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Asymmetry index,0.0024994955561851917,-3.3207325611979504e-06,0.08168120393375365
Non-dominant ENMO,0.0020667013766268168,-1.31638488692783e-06,-0.03679158666953558
Dominant ENMO,0.00203906510775651,-6.2474740587329355e-06,0.010130833386175887
