feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Dominant jerk,0.0010714474556075685,4.041456330663125e-06,-0.01695091987108691
Non-dominant jerk,0.0010528161634819622,-4.6525622847599064e-07,-0.044236275577046395
Asymmetry index,0.0010160597596396213,-2.3768700535572915e-06,0.07872756558520522
Dominant ENMO,0.0008584742964444775,3.3361655798764094e-06,-0.013809596232925206
Non-dominant ENMO,0.0008100990430596534,4.2998469994782795e-07,-0.05826309879601338
