mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__dropout,param_model__module__hidden_size,param_model__module__num_layers,param_model__module__readout_mode,param_model__optimizer__weight_decay,param_prep__block_seconds,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
196.62612228393556,57.61033009436494,2.6113210201263426,0.15106929446747397,128,25,0.1,500,0.1,256,2,mean,0.0,240,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 240}",0.7014106852479518,0.7275783255528823,0.521321354497443,0.6442151565708216,0.622195185812976,0.6433441415364148,0.07183970880740588,1,0.7815687558819057,0.7527048599274837,0.5269259875302217,0.7759579674863792,0.7526109916034291,0.7179537124858839,0.09624108092754945
236.62926449775696,91.9724832631311,2.6134127140045167,0.14484176272443228,128,25,0.05,500,0.1,256,2,attention,0.0,240,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 240}",0.8400956811112787,0.4313236563775401,0.7020938980137762,0.8476605176877747,0.24729243119949706,0.6136932368779734,0.23720103137521767,2,0.8664506639712947,0.6407443877154149,0.9107052760199147,0.8815312417003417,0.7387322217085157,0.8076327582230963,0.10212099486836418
1.59444260597229,1.0350295878041122,0.0226534366607666,0.0007079853993857619,128,25,0.05,500,0.1,512,2,attention,0.0,86400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 86400}",0.5372297190704654,0.7470593573349171,0.5740272080723928,0.6020982622051034,0.5775789530522308,0.6075986999470219,0.07274552015669061,3,0.7535979085229456,0.8120176200377915,0.9041164501746084,0.7751255166230437,0.9264671565317011,0.8342649303780181,0.06910870685696772
10.677569580078124,1.186504839615921,0.21879825592041016,0.008919794570347766,128,25,0.05,500,0.1,512,2,attention,0.0,3600,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 3600}",0.732219272809645,0.6463834219534714,0.537218035871025,0.667802149708955,0.42189137730866655,0.6011028515303526,0.10944282939415112,4,0.7691138625187772,0.8493991348402286,0.8310907103009891,0.810111389859159,0.7266326975867212,0.7972695590211749,0.044291274551729216
191.38071150779723,67.30638700610238,2.6052120208740233,0.1422072022975036,128,25,0.1,500,0.1,256,2,attention,0.0,240,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 240}",0.783981794397014,0.38885246565566567,0.7170598667268071,0.8564740073560703,0.21862048680591195,0.5929977241882939,0.2462192862178184,5,0.8578444570675742,0.6487231932781142,0.8872501886821246,0.86986998435987,0.7266045987178404,0.7980584844211046,0.09390750888036781
1.1218453407287599,0.44055726343094065,0.023223209381103515,0.0007138039541801865,128,25,0.1,500,0.1,512,2,attention,0.0,86400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 86400}",0.5225483996535247,0.71842530370599,0.5618064961826188,0.6256925019857753,0.5344712875001363,0.592588797805609,0.07233468589588614,6,0.74121941719863,0.8048622056587067,0.858849263042506,0.7626521641914521,0.9024762999598851,0.8140118700102359,0.05976056242391662
199.9666129589081,88.86702256559319,2.714120388031006,0.16275006590728572,128,25,0.05,500,0.1,256,2,mean,0.0,240,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 240}",0.732173739612076,0.505960656572794,0.5292221134310282,0.5617966607098284,0.6036358169156155,0.5865577974482685,0.07986495480845907,7,0.760883279147271,0.6385073955060765,0.5456823646472347,0.49977297789232633,0.7531314725851136,0.6395954979556044,0.10580391400421085
16.741932582855224,8.628606534288668,0.21701426506042482,0.009821167213857436,128,25,0.1,500,0.1,512,2,attention,0.0,3600,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 3600}",0.7884514821795565,0.414249155533705,0.6368606638808565,0.7325542178296789,0.29137494477693604,0.5726980928401465,0.1899837469892632,8,0.7828861322931497,0.9606250796554581,0.9078996799806494,0.8108664013355581,0.6657348569972177,0.8256024300524064,0.10257039222186635
16.00975251197815,6.020411892125405,0.21796627044677735,0.010422540812875797,128,25,0.1,500,0.1,256,2,mean,0.0,3600,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 3600}",0.7548100928353936,0.7310217116239847,0.2364459257561271,0.7158367312093246,0.3726040943332063,0.5621437111516073,0.21506555830458726,9,0.7621967872368918,0.8734139561186927,0.9100586371361972,0.7697447637153769,0.7134562374398281,0.8057740763293972,0.073715802688309
191.12838020324708,73.76797622306148,2.585321235656738,0.13976949702960256,128,25,0.1,500,0.1,512,2,mean,0.0,240,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 240}",0.74069108138902,0.4215675401569964,0.5518779763741579,0.4983121052549052,0.5926434571762121,0.5610184320702584,0.1065312965607623,10,0.792818934273906,0.5713798021737369,0.5281430764083592,0.7571018594136366,0.7579752035569316,0.681483775165314,0.1091794904735436
143.8120764732361,14.91535376184737,2.5912435054779053,0.14169488586510381,128,25,0.05,500,0.1,512,2,attention,0.0,240,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 240}",0.8217464717701394,0.45522666164973136,0.5667094613008524,0.7098051170355228,0.2328665279225801,0.5572708479357653,0.2044281414446798,11,0.6748440589908223,0.7452332388500995,0.7414672886984248,0.7683382819864766,0.7472347345931281,0.7354235206237902,0.03170335997004689
21.257607841491698,8.261002404307627,0.22529373168945313,0.011296962260255906,128,25,0.05,500,0.1,256,2,mean,0.0,3600,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 3600}",0.7255133252507229,0.6947110539673556,0.2777250869442561,0.6967351003048248,0.3247047637038941,0.5438778660342106,0.19898822844486638,12,0.8052359478349661,0.7549832137327361,0.9006508108735972,0.7669465120802684,0.7194306587382189,0.7894494286519574,0.061986919525400086
14.96987566947937,6.205817759930343,0.23608665466308593,0.029762828273898752,128,25,0.05,500,0.1,256,2,attention,0.0,3600,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 3600}",0.6950941622708462,0.5007762551836923,0.6837659171405978,0.45140445031873944,0.34302077022746014,0.5348123110282671,0.13621803702884444,13,0.6823478136149339,0.7499620262728637,0.8593605070121165,0.9154647311683707,0.7418637299879195,0.7897997616112409,0.08492492129805422
165.80536971092224,63.685668398958896,2.601914644241333,0.14973066020576942,128,25,0.1,500,0.1,512,2,attention,0.0,240,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 240}",0.8302817630245777,0.2838532385452045,0.4842914975282361,0.7996535039332111,0.21937533781625396,0.5234910681694968,0.25370671829906194,14,0.7256018072455024,0.6435095008392608,0.6138263135261213,0.8263038762316653,0.6987529483691319,0.7015988892423364,0.07377530118546623
