,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__bidirectional,param_model__module__dropout,param_model__module__hidden_size,param_model__module__num_layers,param_model__module__readout_mode,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,decimation_factor,model_type,gridsearch_hash,param_model__module__d_model,param_model__module__dim_feedforward,param_model__module__nhead,param_model__module__patch_size,param_model__module__channels,param_model__module__kernel_size,param_model__module__downsample,param_model__module__input_scaling,param_model__module__leak_rate,param_model__module__reservoir_size,param_model__module__spectral_radius
1298,2.5618521690368654,0.399683303838711,0.0238313674926757,0.001497758220411,128,10,0.0002,500,,0.1,,3.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0002, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.8561999057048562,0.9409409409409408,0.9345114345114344,0.8534883720930233,0.7914552736982643,0.8753191853897038,0.056009327985197,1,0.8893690579083837,0.873691345936582,0.8408761962368495,0.9179633323833952,0.8873626373626373,0.8818525139655694,0.0250460151629065,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,96.0,128.0,4.0,16.0,,,,,,,
1100,7.773426103591919,1.2630656147575,0.029881477355957,0.0034334424501282,64,10,3e-05,500,,0.25,,2.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 128, 'model__module__dim_feedforward': 384, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.8205882352941176,0.9409409409409408,0.9505882352941176,0.8373027259684362,0.7914552736982643,0.8681750822391754,0.0651004414662397,2,0.9272727272727272,0.8844086021505376,0.8759462759462759,0.9002822904787722,0.9243833089986936,0.9024586409694012,0.0206391659192108,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,128.0,384.0,4.0,16.0,,,,,,,
777,6.496016025543213,0.4496414974384174,0.0213387012481689,0.0018482856079731,64,10,3e-05,500,,0.1,,2.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.8803921568627451,0.8760504201680672,0.9505882352941176,0.8534883720930233,0.7767295597484276,0.8674497488332762,0.0558185599099149,1,0.8885583690052963,0.9170496453900708,0.8805097052627273,0.9141891891891892,0.9238390092879256,0.904829183627042,0.0170557866886863,enmo_ai,6400,3,Transformer,b24ce2b4c8,96.0,256.0,4.0,32.0,,,,,,,
1144,3.148739719390869,0.5048979464982191,0.0274639129638671,0.0030541159750062,64,10,0.0001,500,,0.1,,2.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0001, 'model__max_epochs': 500, 'model__module__d_model': 128, 'model__module__dim_feedforward': 384, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.8205882352941176,0.9425511197663096,0.9675925925925926,0.8278165806255694,0.7767295597484276,0.8670556176054033,0.0743840985104367,3,0.9324977587146448,0.8940412186379929,0.8919958693583332,0.8846590479073639,0.9210153549776192,0.9048418499191908,0.0185226882869004,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,128.0,384.0,4.0,16.0,,,,,,,
1280,3.265671634674072,0.336276586270926,0.0244287967681884,0.0023113982326295,128,10,0.0001,500,,0.1,,2.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0001, 'model__max_epochs': 500, 'model__module__d_model': 128, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.7986798679867987,0.9409409409409408,0.9505882352941176,0.8534883720930233,0.7914552736982643,0.8670305380026289,0.0678401965842824,4,0.9224615603898304,0.8984232925251692,0.8522396742292031,0.9231060319382428,0.9061355311355312,0.9004732180435953,0.0259170607785762,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,128.0,256.0,4.0,16.0,,,,,,,
969,2.734282970428467,0.2376463731744271,0.0203080654144287,0.0023921701794869,128,10,0.0001,500,,0.1,,2.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0001, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.7986798679867987,0.8984509466437177,0.9336842105263158,0.9071618037135278,0.7914552736982643,0.8658864205137249,0.0590209492803565,2,0.8930287624486385,0.9080972646656292,0.861137546317857,0.9237237237237236,0.928856498351553,0.9029687591014802,0.024396307366809,enmo_ai,6400,3,Transformer,b24ce2b4c8,96.0,256.0,4.0,32.0,,,,,,,
1094,7.9053832530975345,0.6603629951498771,0.0327511310577392,0.0061638215925855,64,10,3e-05,500,,0.25,,3.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 128, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.7818088911599387,0.9611842105263158,0.9672557172557172,0.8373027259684362,0.7767295597484276,0.8648562209317671,0.0838893329392651,5,0.9054968622005029,0.9019756838905776,0.8805097052627273,0.8942707939150836,0.9011007944864554,0.8966707679510693,0.0088612305073198,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,128.0,256.0,4.0,16.0,,,,,,,
1220,10.469165134429932,1.0759304908422207,0.024544334411621,0.002143544256789,128,10,3e-05,500,,0.25,,2.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 384, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.8205882352941176,0.9200542005420054,0.9345114345114344,0.8534883720930233,0.7914552736982643,0.864019503227769,0.0554468156772083,6,0.913339391023928,0.902839496874294,0.8944569101637164,0.9075390363061596,0.9238390092879256,0.9084027687312048,0.0098876767830094,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,96.0,384.0,4.0,16.0,,,,,,,
1340,2.568743133544922,0.3802660842024656,0.0230836868286132,0.0016470982047988,128,10,0.0002,500,,0.25,,2.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0002, 'model__max_epochs': 500, 'model__module__d_model': 128, 'model__module__dim_feedforward': 384, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.8205882352941176,0.9409409409409408,0.9345114345114344,0.8411319697394228,0.7767295597484276,0.8627804280468687,0.0646652795177971,7,0.9150467208104096,0.902839496874294,0.8582677165354331,0.919276139911387,0.9436813186813188,0.9078222785625684,0.0281060028993192,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,128.0,384.0,4.0,16.0,,,,,,,
769,7.083871364593506,0.7169882251416939,0.0243162631988525,0.0016215836749019,64,10,3e-05,500,,0.1,,2.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.8336363636363636,0.9409409409409408,0.9336842105263158,0.8571428571428572,0.7484817813765182,0.8627772307245992,0.0708261977256691,3,0.8950950522921233,0.9117781155015198,0.849338324026917,0.908311959722618,0.9105197664401264,0.8950086435966609,0.0235990419120999,enmo_ai,6400,3,Transformer,b24ce2b4c8,96.0,128.0,4.0,32.0,,,,,,,
