feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Asymmetry index,0.0015396385981472703,7.278769959811953e-06,-0.30322560308421825
Dominant jerk,0.0012497063208723215,-4.17016178527898e-06,-0.023147744514254276
Non-dominant jerk,0.0011532740117160146,1.0011906332642087e-06,0.007997817932584465
Non-dominant ENMO,0.0010654651428264356,8.900460817718667e-07,0.02917439563448322
Dominant ENMO,0.0009650191191336142,-4.700861637922968e-06,-0.052348687839865016
