feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Asymmetry index,0.0023449460252643176,-4.446478489856553e-06,0.11150401482560882
Dominant ENMO,0.0018452279876186683,3.282064734559415e-06,-0.01647589400795804
Non-dominant ENMO,0.0016078366837532086,1.0186507514364849e-05,-0.06477514420949307
