feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Non-dominant jerk,0.0009321149582272381,3.4933168204538687e-06,0.016128399607218104
Asymmetry index,0.0009114129839578309,-3.937454284345978e-06,0.14775263097648378
Dominant jerk,0.0007893494448070708,1.5158518754926032e-07,0.051629330965163485
Dominant ENMO,0.0006578666797843713,1.03432712210867e-06,0.05529509710446291
Non-dominant ENMO,0.0006447837359931722,1.3502117312521885e-06,-0.006556020440473535
