,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__bidirectional,param_model__module__dropout,param_model__module__hidden_size,param_model__module__num_layers,param_model__module__readout_mode,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,58.912459468841554,7.7640948320739405,0.05688710212707519,0.0041403575175377435,128,10,0.001,500,True,0.1,64,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.42857142857142855,0.6199095022624435,0.7076023391812866,0.6634615384615385,0.6814414414414414,0.6201972499836277,0.09998283602011199,5,0.7579272843586736,0.5952179812098405,0.768214326257237,0.77773261065944,0.6952380952380952,0.7188660595446572,0.06822525855549616
1,58.39264678955078,12.410445539998058,0.058510208129882814,0.004503259032716058,128,10,0.001,500,True,0.1,64,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.4339622641509434,0.45217391304347826,0.7336647727272727,0.47605500237079185,0.47998200629779575,0.5151675917180564,0.1105181857922275,6,0.7757310202986676,0.5115635997988939,0.6626778053736735,0.6667599015439696,0.4298440979955457,0.60931528500215,0.1229690517406348
2,103.7738221168518,6.051598516307949,0.06928305625915528,0.0039107497778125295,128,10,0.001,500,True,0.1,64,2,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.44954128440366975,0.3978494623655914,0.4485294117647059,0.41964285714285715,0.423728813559322,0.4278583658472293,0.01940372732228574,9,0.5013391220997434,0.4357894736842105,0.4497146815318139,0.43201754385964913,0.4311111111111111,0.4499943864573056,0.026525024476933175
3,99.85642127990722,12.077576585148755,0.06589384078979492,0.004628709476652086,128,10,0.001,500,True,0.1,64,2,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.44954128440366975,0.3978494623655914,0.4485294117647059,0.41964285714285715,0.423728813559322,0.4278583658472293,0.01940372732228574,9,0.42483660130718953,0.4357894736842105,0.4236111111111111,0.43201754385964913,0.4311111111111111,0.4294731682146543,0.00458069613295273
4,108.32419509887696,41.75748527080573,0.07801470756530762,0.009966224687368757,128,10,0.001,500,True,0.1,128,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.623072529982867,0.8406827880512091,0.657707910750507,0.7724089635854342,0.7589429584273284,0.7305630301594691,0.07942913773071542,1,0.8019426676143093,0.8284250960307298,0.7603003465537158,0.8792796610169491,0.8393595153088824,0.8218614573049173,0.03957939374070771
5,144.09969129562378,35.762583450328734,0.07451434135437011,0.005419377346546805,128,10,0.001,500,True,0.1,128,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.4392523364485981,0.825,0.9121779859484778,0.6933962264150944,0.47998200629779575,0.6699617110219933,0.1857815249820822,3,0.8274509803921568,0.7286578589949377,0.7702321869466544,0.7847662464088135,0.6370081531371854,0.7496230851759496,0.0645579147090978
6,224.10011401176453,74.4292070001269,0.11090602874755859,0.006672967456630651,128,10,0.001,500,True,0.1,128,2,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.4951923076923077,0.825,0.592074592074592,0.7558893820416525,0.7146853146853147,0.6765683192987734,0.11816357111584888,2,0.6085085693448402,0.7377690802348336,0.692257360959651,0.7703117538713418,0.7707390648567118,0.7159171658534756,0.06089024708383653
7,275.92970304489137,36.30661688832921,0.11309952735900879,0.0136163782907423,128,10,0.001,500,True,0.1,128,2,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.44954128440366975,0.3978494623655914,0.4485294117647059,0.41964285714285715,0.423728813559322,0.4278583658472293,0.01940372732228574,9,0.5362686094393412,0.4357894736842105,0.45499316005471957,0.43201754385964913,0.4311111111111111,0.45803597962980636,0.04006598979020611
8,67.67098126411437,4.9296633939488,0.05053877830505371,0.005018705016923071,128,10,0.0003,500,True,0.1,64,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.44954128440366975,0.3978494623655914,0.4444444444444444,0.41964285714285715,0.47998200629779575,0.4382920109308717,0.027877750902692826,8,0.4385921656855795,0.4357894736842105,0.46809078771695595,0.44884004884004886,0.47237216606143884,0.45273692839764673,0.014991729438872767
9,65.34531846046448,5.298288445712194,0.048798656463623045,0.004642141111069511,128,10,0.0003,500,True,0.1,64,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.44954128440366975,0.3978494623655914,0.4485294117647059,0.41964285714285715,0.423728813559322,0.4278583658472293,0.01940372732228574,9,0.4400499064254523,0.4357894736842105,0.4236111111111111,0.43201754385964913,0.4311111111111111,0.4325158292383068,0.005458838581242824
