,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__d_model,param_model__module__dim_feedforward,param_model__module__dropout,param_model__module__nhead,param_model__module__num_layers,param_model__module__patch_size,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,7.003427648544312,4.4170335363440705,0.03636798858642578,0.006589859419655931,64,10,3e-05,500,96,128,0.1,4,2,16,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.5491949910554561,0.7919655667144907,0.7020750988142292,0.540045766590389,0.7216117216117216,0.6609786289572573,0.09964256974343055,56,0.7377074851237082,0.7552374226958549,0.9167746113989637,0.5870108037281515,0.7341286084634426,0.7461717862820242,0.10462926033863722
1,5.071112728118896,3.8999380839780056,0.03097114562988281,0.004738532696228995,64,10,3e-05,500,96,128,0.1,4,2,32,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.5474747474747474,0.7817310981867944,0.6621848739495798,0.4322033898305085,0.5856052344601963,0.6018398687803653,0.11661735618922116,256,0.5941502249913465,0.7290740740740741,0.8877799263926143,0.5583608724388631,0.6127491503628181,0.6764228496519433,0.12017131149711124
2,5.116459131240845,2.4612873032853715,0.0315819263458252,0.005905789763497306,64,10,3e-05,500,96,128,0.1,4,3,16,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.5363834422657952,0.693121693121693,0.6954545454545455,0.6329540665823852,0.7845669291338583,0.6684961353116554,0.08188114003455249,37,0.7059083995918602,0.6252793160400272,0.7661703887510338,0.5596801827527127,0.7534647096661014,0.6821005993603471,0.07866739314397643
3,4.787643194198608,3.3010659230324033,0.03144292831420899,0.0076609287617907355,64,10,3e-05,500,96,128,0.1,4,3,32,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.5447154471544715,0.7583333333333333,0.674674163046256,0.4369747899159664,0.768009768009768,0.636541500291959,0.12792978691933823,154,0.7149946827366183,0.7044444444444444,0.8817748410839745,0.4670060331825038,0.7688723205964585,0.7074184644088,0.1356768981770047
4,6.701732778549195,5.3489923752082085,0.0310272216796875,0.006793912419275441,64,10,3e-05,500,96,128,0.25,4,2,16,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.4490161001788909,0.7420458433116661,0.7078488372093024,0.45616883116883117,0.7526041666666667,0.6215367557070713,0.13875215953213074,206,0.7377074851237082,0.6911008413319113,0.8984675524504606,0.5277937748525984,0.6700268362537491,0.7050192980024855,0.11943016921809932
5,5.778551483154297,4.4521989392605805,0.029826259613037108,0.006492518191804726,64,10,3e-05,500,96,128,0.25,4,2,32,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.5349291646311676,0.8388888888888889,0.7020750988142292,0.4369747899159664,0.5930708661417323,0.621187761678397,0.13863770514716883,207,0.6487549148099607,0.8322176328158382,0.9091551785083068,0.4458010630220198,0.6594520368796182,0.6990761652071488,0.16131361963623808
6,5.346682167053222,2.194524077171054,0.03216853141784668,0.0057581946648382135,64,10,3e-05,500,96,128,0.25,4,3,16,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.5114250103863731,0.7503586800573888,0.6661421452924207,0.47105263157894733,0.768009768009768,0.6333976470649796,0.12174213457925243,163,0.7536764705882353,0.6855581576893053,0.7686957944689903,0.5237076953782112,0.7476917170553796,0.6958659670360243,0.09063869800882866
7,5.426183986663818,4.676502551914354,0.03042597770690918,0.0057635729023563145,64,10,3e-05,500,96,128,0.25,4,3,32,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.5447154471544715,0.8567901234567901,0.7089189879887554,0.47507122507122507,0.6377908606672273,0.6446573288676939,0.13260833916459827,125,0.7049944961659732,0.6998025016458196,0.9207197943444729,0.49728319930449905,0.6136824360369588,0.6872964854995447,0.13891014242483163
8,5.399669742584228,3.2863679190272816,0.030367040634155275,0.005374109600209562,64,10,3e-05,500,96,256,0.1,4,2,16,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.5714285714285714,0.6400146038700256,0.7020750988142292,0.47871853546910753,0.768009768009768,0.6320493155183404,0.10063548430936822,169,0.740611691831204,0.6320158102766799,0.8678663239074551,0.6448938575555835,0.7438800489596084,0.7258535465061061,0.08493571517920678
9,5.215116405487061,4.196425534301929,0.028829288482666016,0.004425547350248862,64,10,3e-05,500,96,256,0.1,4,2,32,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.6493738819320215,0.8094194961664841,0.715605493133583,0.45616883116883117,0.7216117216117216,0.6704358848025282,0.11859990072125023,33,0.6817642069550467,0.7210214318285454,0.9239001692047377,0.536488196182939,0.650454030823263,0.7027256069989064,0.12653813567112449
