,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__bidirectional,param_model__module__dropout,param_model__module__hidden_size,param_model__module__num_layers,param_model__module__readout_mode,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,11.313823032379151,5.596679326640768,0.03784055709838867,0.003212126312213207,128,10,0.001,500,True,0.1,64,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.5512820512820513,0.43703703703703706,0.6593406593406593,0.5815602836879432,0.39,0.5238440062695383,0.0978703488378736,13,0.7730127877237851,0.418013856812933,0.763381806930693,0.5673133164359524,0.5195681511470985,0.6082579838100923,0.13924275634536318
1,30.228479051589964,10.981055082474146,0.03686504364013672,0.002488750042669418,128,10,0.001,500,True,0.1,64,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.5949074074074074,0.7092896174863388,0.7064141196728368,0.45816326530612245,0.5665374677002584,0.6070623755145927,0.0941085909918497,5,0.7423649829408339,0.6627595754499308,0.7296113847837986,0.4901895206243032,0.7595626072041166,0.6768976142005967,0.09895252942067718
2,39.60435628890991,14.099720531149744,0.043220233917236325,0.0020794118013947767,128,10,0.001,500,True,0.1,64,2,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.5949074074074074,0.8020833333333333,0.5724137931034483,0.6871212121212121,0.4374176548089591,0.6187886801548721,0.12155875861561122,3,0.8152429667519181,0.7615795968737145,0.8190864833906071,0.81545601291364,0.5706810563322704,0.75640922325243,0.09528699432009995
3,51.99785494804382,18.77901247457675,0.03951001167297363,0.003150854469639857,128,10,0.001,500,True,0.1,64,2,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.5949074074074074,0.7092896174863388,0.6684491978609626,0.40404040404040403,0.5922459893048129,0.5937865232199852,0.10480715542315212,8,0.7462914530808662,0.6464646464646464,0.7362496354622339,0.4402087040443948,0.7678664580073031,0.6674161794118889,0.12092296352124107
4,13.078945922851563,7.546275071142334,0.036705303192138675,0.0024406451775000233,128,10,0.001,500,True,0.1,128,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.6354166666666667,0.4958540630182421,0.5386904761904762,0.7040133779264214,0.4019607843137255,0.5551870736231064,0.10569474543451204,12,0.7936868686868688,0.42201834862385323,0.7844611528822054,0.6415597166701732,0.43070362473347545,0.6144859423193153,0.16282336954788357
5,32.19256854057312,14.206084579205447,0.034932947158813475,0.0025693550651633415,128,10,0.001,500,True,0.1,128,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.5543981481481481,0.6960810450546521,0.7064141196728368,0.5949656750572082,0.5665374677002584,0.6236792911266208,0.0647712935351792,2,0.7558426596445029,0.6381270745544857,0.7400109469074987,0.5251925545571245,0.76685195834132,0.6852050388009863,0.09217365170559808
6,35.93764200210571,14.527625739878651,0.047223663330078124,0.004320530336313283,128,10,0.001,500,True,0.1,128,2,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.7306895531222255,0.7182339063026626,0.6449026345933562,0.6722222222222223,0.4019607843137255,0.6336018201108383,0.11988780692534447,1,0.8025197045863588,0.6268382352941176,0.7530940594059405,0.7801928419676418,0.4923796166432912,0.69100489157947,0.11645983719557843
7,57.43822183609009,26.029763899627365,0.04392814636230469,0.0031216883299175894,128,10,0.001,500,True,0.1,128,2,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.5333333333333333,0.6622222222222223,0.7064141196728368,0.40404040404040403,0.5793103448275863,0.5770640848192766,0.1056768265064538,11,0.7384720412089618,0.5978621545631855,0.7192118226600985,0.44306418219461696,0.7595626072041166,0.6516345615661958,0.11844743309078855
8,34.78165445327759,8.95720691957066,0.03560099601745605,0.0027009265948016218,128,10,0.0003,500,True,0.1,64,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.49090909090909096,0.8248847926267281,0.6593406593406593,0.5949656750572082,0.39603960396039606,0.5932279643788164,0.1465545601474212,9,0.6883989547420892,0.5946516537649542,0.7569359385632352,0.559672619047619,0.4541847041847042,0.6107687740605203,0.10467132796904356
9,38.764034271240234,3.6516301875816666,0.034154224395751956,0.002838671999378044,128,10,0.0003,500,True,0.1,64,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.4468390804597701,0.5488721804511278,0.48008385744234805,0.45816326530612245,0.4623397435897436,0.4792596254498225,0.03641158530773138,16,0.6384384384384385,0.41531322505800466,0.62074818385498,0.5131155955371856,0.5675068913580948,0.5510244668493407,0.08078229154023407
