,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__bidirectional,param_model__module__dropout,param_model__module__hidden_size,param_model__module__num_layers,param_model__module__readout_mode,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,37.659388303756714,20.462377880843338,0.06221661567687988,0.018131185220876384,128,10,0.001,500,True,0.1,64,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.5148247978436657,0.8857142857142857,0.6232958622339153,0.6285714285714286,0.5952380952380952,0.6495288939202781,0.12490285098712625,4,0.7587670314943042,0.8398634229620145,0.8023809523809524,0.7314291101055808,0.726091014637922,0.7717063063161549,0.04348967386189196
1,58.38589954376221,18.587544635873858,0.055069684982299805,0.0033903551065436015,128,10,0.001,500,True,0.1,64,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.4230769230769231,0.8733031674208145,0.9121779859484778,0.6933962264150944,0.4724137931034483,0.6748736191929516,0.2002110348730061,2,0.8313637815394443,0.741985173774911,0.7767357324609233,0.7814662134471204,0.6660238230289279,0.7595149448502655,0.05475135027722597
2,45.34829940795898,29.993013080749304,0.06701922416687012,0.004326589960042618,128,10,0.001,500,True,0.1,64,2,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.44954128440366975,0.8406827880512091,0.7086247086247086,0.41964285714285715,0.423728813559322,0.5684440903563533,0.17377382419018672,11,0.42483660130718953,0.704954128440367,0.7363303812090873,0.43201754385964913,0.4556220760951353,0.5507521461822856,0.13944166745465833
3,81.7853106021881,42.27102095515406,0.06480560302734376,0.0035458626996774673,128,10,0.001,500,True,0.1,64,2,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.42857142857142855,0.825,0.832,0.41964285714285715,0.423728813559322,0.5857886198547215,0.19820553404114064,9,0.7745615379562523,0.6013729977116704,0.7419154228855722,0.43201754385964913,0.4311111111111111,0.596195722704851,0.1464805807208147
4,43.6324963092804,35.99802519872945,0.06962389945983886,0.01028771785381964,128,10,0.001,500,True,0.1,128,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.6394230769230769,0.7610241820768137,0.625,0.7724089635854342,0.6458333333333334,0.6887379111837316,0.06412710342808021,1,0.7681251996167359,0.8789819376026272,0.7465766099185789,0.77773261065944,0.6978150369781504,0.7738462789551065,0.059372932634459356
5,79.72901349067688,34.2142049598933,0.06912446022033691,0.007060897099932139,128,10,0.001,500,True,0.1,128,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.48600799543118217,0.8545454545454545,0.8695652173913044,0.5740498034076016,0.47998200629779575,0.6528300954146676,0.17411238242610008,3,0.84363894811656,0.7787155963302752,0.8087156924366227,0.762094304960196,0.63333052489679,0.7652990133480888,0.07159344970246227
6,76.58633065223694,58.06808899843195,0.08505892753601074,0.008131450143596312,128,10,0.001,500,True,0.1,128,2,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.44954128440366975,0.8055555555555556,0.6031746031746031,0.6780952380952381,0.6671328671328671,0.6406999096723867,0.11595194215699503,5,0.5950411144919154,0.8532681940700808,0.799002849002849,0.7394549070066674,0.7620596709731388,0.7497653471089303,0.08641089590453453
7,129.26241693496704,67.41820727134646,0.0798884391784668,0.007566573549450605,128,10,0.001,500,True,0.1,128,2,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.4771241830065359,0.806674338319908,0.9390078612089997,0.41964285714285715,0.47998200629779575,0.6244862491952193,0.2081702256697272,6,0.84363894811656,0.7797243031256604,0.7962552945706585,0.43201754385964913,0.44491481672689726,0.6593101812798852,0.18158079989079057
8,61.68820052146911,6.793284722547553,0.04986615180969238,0.006349571656445163,128,10,0.0003,500,True,0.1,64,1,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.5148247978436657,0.7992831541218638,0.6666666666666667,0.6285714285714286,0.4724137931034483,0.6163519680614146,0.11590570947716916,7,0.7615176151761518,0.7462121212121212,0.7538903574301804,0.7426377597109304,0.7306551889048303,0.7469826084868428,0.010440683949393167
9,67.70727500915527,2.2160720791546726,0.044241142272949216,0.0036402170506382348,128,10,0.0003,500,True,0.1,64,1,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.44954128440366975,0.3978494623655914,0.6351172047766475,0.41964285714285715,0.4724137931034483,0.47491292035844285,0.08403443905885016,14,0.6992880873279544,0.4357894736842105,0.47005168744299175,0.48103243335031415,0.6218834928512348,0.5416090349313412,0.10128615931136574
