mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__dropout,param_model__module__hidden_size,param_model__module__num_layers,param_model__module__readout_mode,param_model__optimizer__weight_decay,param_prep__block_seconds,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4176049709320068,0.09930960461947949,0.012054204940795898,0.0003736862100906162,128,25,0.05,500,0.1,256,2,mean,0.0,518400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 518400}",0.681234511751494,0.5495598836353379,0.6112482919181533,0.5374928759358629,0.5477829451924432,0.5854637016866582,0.05449223217621529,1,0.6726951028041698,0.5638151099730958,0.5474665511746187,0.6231655421482247,0.7053544502657733,0.6224993512731765,0.06075983209113147
0.3910212993621826,0.11238297991639191,0.012395048141479492,0.000520346647545311,128,25,0.05,500,0.1,256,2,attention,0.0,518400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 518400}",0.681234511751494,0.5495598836353379,0.6112482919181533,0.5374928759358629,0.5477829451924432,0.5854637016866582,0.05449223217621529,1,0.6726951028041698,0.5638151099730958,0.5474665511746187,0.6231655421482247,0.7053544502657733,0.6224993512731765,0.06075983209113147
0.3319453239440918,0.08557798942610836,0.012142324447631836,0.0004534199029740453,128,25,0.05,500,0.1,512,2,mean,0.0,518400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 518400}",0.6665446235573168,0.436542541686194,0.6277260072055832,0.264422735752324,0.7500811452044867,0.5490634106811809,0.1755443128369776,3,0.7350587694840602,0.5270554565439463,0.7174386869946512,0.6586559746646797,0.7503400332446368,0.6777097841863948,0.0814889182723271
0.40736188888549807,0.1267528192520849,0.012416601181030273,0.0003438826472553632,128,25,0.05,500,0.1,512,2,attention,0.0,518400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 518400}",0.6684630005092178,0.4176951990031126,0.6277260072055832,0.264422735752324,0.7500811452044867,0.5456776175349448,0.1783663637703309,4,0.7395529267558694,0.5137728756934886,0.7174386869946512,0.6586559746646797,0.7503400332446368,0.6759520994706651,0.08706437092769952
0.5542891502380372,0.3782178264199007,0.012834310531616211,0.00043861305553909326,128,25,0.1,500,0.1,256,2,attention,0.0,518400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 518400}",0.6882476373343519,0.4066731018601637,0.5802763117337215,0.44513905304066637,0.577661369623286,0.5395994947184379,0.1017760099701302,5,0.6769977095996229,0.8280772214300243,0.514135942447567,0.6194793094385991,0.7186852968672701,0.6714750959566167,0.10415632393362838
0.47649593353271485,0.3150632813985222,0.012239170074462891,0.000607366234773894,128,25,0.1,500,0.1,256,2,mean,0.0,518400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 518400}",0.6882476373343519,0.4066731018601637,0.5802763117337215,0.44513905304066637,0.577661369623286,0.5395994947184379,0.1017760099701302,5,0.6769977095996229,0.8280772214300243,0.514135942447567,0.6194793094385991,0.7186852968672701,0.6714750959566167,0.10415632393362838
0.8200567245483399,0.30359161811091645,0.022127914428710937,0.0007289181539964735,128,25,0.05,500,0.1,512,2,mean,0.0,86400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 86400}",0.6865004202744354,0.38124426594028127,0.6120014415052579,0.19734719428695613,0.7846220134107214,0.5323430670835304,0.2139194686866817,7,0.7427237229106349,0.8341520535104082,0.5905356748148864,0.6557064253144766,0.7424601871351654,0.7131156127371143,0.08331772945929569
0.6290541648864746,0.18113189090362988,0.022713088989257814,0.0007823895443095967,128,25,0.05,500,0.1,512,2,attention,0.0,86400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.05, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 86400}",0.6901352176694981,0.6131454449945235,0.6440748741669649,0.24698804294250964,0.46596393447133566,0.5320615028489664,0.16108672597922177,8,0.7831629768658692,0.5993837426945441,0.6015218464977437,0.6771707457650158,0.5942387209380837,0.6510956065522513,0.07278198015696168
18.16841549873352,3.397535099481481,0.2256147861480713,0.008345737842803853,128,25,0.5,500,0.1,256,2,mean,0.0,3600,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.5, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 256, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 3600}",0.5980292035883501,0.46007955915831544,0.6542929543582328,0.6204948559235952,0.3115165543828555,0.5288826254822698,0.12718779141078443,9,0.7214351686946145,0.7348332564640295,0.8275083312869722,0.7880619448053837,0.7891307892758462,0.7721938981053691,0.03891170996510757
0.36988329887390137,0.07594526650217617,0.0121978759765625,0.0004705884292549775,128,25,0.1,500,0.1,512,2,mean,0.0,518400,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 25, 'model__lr': 0.1, 'model__max_epochs': 500, 'model__module__dropout': 0.1, 'model__module__hidden_size': 512, 'model__module__num_layers': 2, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0, 'prep__block_seconds': 518400}",0.644613763691658,0.48175309094314767,0.5740540668897636,0.21239534473905686,0.7097209312192843,0.5245074394965821,0.1734510472311804,10,0.7212125524910775,0.7643601114840362,0.581065895131379,0.6443944805238864,0.7629204137438571,0.6947906906748473,0.07162790710052253
