feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Asymmetry index,0.00024208864119388304,6.579853107856913e-07,-0.05969432373721725
Dominant ENMO,0.0001335717413779274,-1.890570903927461e-07,-0.0193969790016418
Non-dominant ENMO,9.607452571210219e-05,9.727338478332588e-08,-0.017166944947187707
