feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Asymmetry index,0.0013094030630681865,1.1174879809091333e-06,-0.041585056938766275
Non-dominant jerk,0.0011984012735467562,-3.536931016014697e-06,-0.032582568225124856
Dominant jerk,0.000916991088127999,1.1980303281050242e-06,-0.07595504670671542
Dominant ENMO,0.0008689077394420798,1.2916281703231003e-06,-0.07385306128658652
Non-dominant ENMO,0.0008482965031400313,-5.888928089855233e-06,-0.03631642241754737
