feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Asymmetry index,0.0029262151667939214,-3.0494838560384274e-06,0.05379262617319899
Non-dominant ENMO,0.002254562782518463,1.1002176703090698e-05,-0.02467544965743767
Dominant ENMO,0.002197217776207966,-1.2196058668884846e-05,-0.027216587376374356
