,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__downsample,param_model__module__input_scaling,param_model__module__leak_rate,param_model__module__reservoir_size,param_model__module__spectral_radius,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,11.987912654876709,10.119085724578818,0.14861598014831542,0.003919772847458213,128,10,0.0008,500,8,0.5,0.85,400,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0008, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.85, 'model__module__reservoir_size': 400, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.55,0.5272229822161423,0.5927889713679746,0.5034722222222222,0.650853889943074,0.5648676131498827,0.05211679235634263,1,0.6801346801346801,0.5520516717325228,0.5778645349197497,0.5848413881200767,0.5583930006917052,0.5906570551197469,0.04633586250118066
1,7.702251195907593,3.7696831668515465,0.14493002891540527,0.0028635112098755076,128,10,0.0008,500,8,0.5,0.85,700,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0008, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.85, 'model__module__reservoir_size': 700, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5555555555555556,0.5628155628155629,0.571619812583668,0.44537815126050423,0.6246992782678429,0.5520136720966267,0.058596856869300294,4,0.6542086447838804,0.6171332077677469,0.5660843021367798,0.6520146520146519,0.5707921552562856,0.612046592391869,0.03798794234165897
2,9.792790508270263,6.397810799977162,0.14585585594177247,0.0019015606583709327,128,10,0.0008,500,8,0.5,0.95,400,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0008, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.95, 'model__module__reservoir_size': 400, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5739425748687866,0.41075141075141075,0.5536037199690003,0.5139911634756995,0.5836490528414755,0.5271875843812746,0.06293372200949124,8,0.6815552970138432,0.5679477687285455,0.5648178332479548,0.5909610983981693,0.5748770597877664,0.5960318114352559,0.04370475517037458
3,7.528304862976074,3.7400149132521774,0.14410510063171386,0.0017912805978369817,128,10,0.0008,500,8,0.5,0.95,700,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0008, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.95, 'model__module__reservoir_size': 700, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5334928229665072,0.536231884057971,0.6133438402941949,0.4362297496318115,0.6370235934664247,0.5512643780833818,0.07068701782135933,5,0.6672592007373757,0.5066721244371675,0.5541128269776237,0.6494216166347313,0.5697831978319783,0.5894497933237753,0.06023046091204032
4,9.100366830825806,6.515495283736522,0.14570350646972657,0.0037940202235847,128,10,0.001,500,8,0.5,0.85,400,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.85, 'model__module__reservoir_size': 400, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5604395604395604,0.5097603162836669,0.5927889713679746,0.4849939975990396,0.626788306033589,0.5549542303447661,0.0520742065491312,3,0.6882547770700637,0.5009523809523809,0.5843081134892981,0.606427021210629,0.5774321880650994,0.5914748961574942,0.06005463775013056
5,7.236102867126465,3.633311255296024,0.14674005508422852,0.0067632723464444025,128,10,0.001,500,8,0.5,0.85,700,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.85, 'model__module__reservoir_size': 700, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5417156286721504,0.5870967741935484,0.571619812583668,0.46375,0.6370235934664247,0.5602411617831583,0.05727124777143098,2,0.6705474362150111,0.6555376553154454,0.5674732323946984,0.6222528735632185,0.5479189485213581,0.6127460292019463,0.047988920654990296
6,8.951797437667846,6.60429987300514,0.14624300003051757,0.008159430411714049,128,10,0.001,500,8,0.5,0.95,400,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.95, 'model__module__reservoir_size': 400, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5238095238095237,0.4583333333333333,0.5536037199690003,0.494949494949495,0.626788306033589,0.5314968756189883,0.05712596539053762,7,0.6792186836518046,0.6045630045630046,0.5598556495769039,0.593868061609997,0.5989983123741085,0.6073007423551637,0.039192064433748
7,6.642608022689819,3.6642568023439743,0.14322094917297362,0.0013511711968087385,128,10,0.001,500,8,0.5,0.95,700,0.9,0.0,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__downsample': 8, 'model__module__input_scaling': 0.5, 'model__module__leak_rate': 0.95, 'model__module__reservoir_size': 700, 'model__module__spectral_radius': 0.9, 'model__optimizer__weight_decay': 0.0}",0.5107218363032316,0.5870967741935484,0.5797215655371684,0.46375,0.6148148148148148,0.5512209981697527,0.055560570180233915,6,0.6627293960627294,0.6391969268681598,0.5592346272974545,0.6059057991354628,0.588974837734507,0.6112083174196627,0.03650066461693372
