feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Non-dominant jerk,0.001198009491578922,5.225824676273725e-06,0.04476535081194702
Asymmetry index,0.0011060666503502291,3.0403479117703796e-06,0.0775615099865642
Dominant jerk,0.0010341947026112585,1.3732302418084995e-07,0.03584172312076027
Dominant ENMO,0.001009490486537955,-6.636343451038897e-07,0.0430219447517377
Non-dominant ENMO,0.0007881561971003255,2.3476343414538484e-06,0.056880590209283065
