feature,mean_abs_shap_value,mean_signed_shap_value,mean_feature_value_test
Asymmetry index,0.0011310310485234496,1.7489326627515372e-06,-0.05597497490223475
Non-dominant jerk,0.0011276722368686132,2.2215002710502965e-06,0.11152893257983844
Non-dominant ENMO,0.0010455121618090733,2.800785584432259e-06,0.15084621057618613
Dominant ENMO,0.0010012378978734551,-4.687403743567363e-06,0.11440479579912634
Dominant jerk,0.0008301657916082797,-6.408464656165845e-06,0.07331831558506981
